ID,DIMENSIONS,Old id,,
204 - 1,32L 39 H 12D,,,
803,"48"" x 18"" x 15""",,,
517,"39""x 17"" x 22""",,,
204 - 3,47 21 16,,,
519,32 29 16,,,
808,18 22 18,,,
204,36 31 19,,,
204 7,27 22 23,,,
807,27 26 16,,,
204 9,,,,
204 12,26 26 11,,,
805,16 21 19,,,
,,,,
527,14.19.14,,,
809,18 20 12,,,
529,25 25 12,,,
530,18 22 18,,,
531,12 36 12,,,
532,22 23 18,,,
533,16 16 16,95,,
534,20 25 16,,,
535,26 25 15,,,
536,27.26.16,226,,
537,16.28.12,,,
538,63 31 8,,,
539,17.30.12,111,,
540,22 24 15,,,
541,22 24 15,,,
543,23 19 16,,,
542,15.24.12,,,
544,22.18.22,,,
545,21 24 15,,,
546,16.30.15,,,
547,16 22 19,217,,
548,24 36 9,,,
549,13 31 10,366,,
550,31.11.12,,,
551,"55"" 36"" 24""",333,done,
552,"46"" 31"" 18""",,,
553,48x19x24,,,
554,"63"" 36"" 20",286,,
555,38.26.16,,,
556,51.18.32,,,
557,51.17.18,,,
558,31.35.17,,,
559,49.20.16,293,,
560,33.42.14,296,done,
562,40.34.20,208,done,
563,30.30.15,missing seller,done,
564,45.31.30,257,done,
565,55.30.12,201,done,
566,47.30.24,250,done,
567,31.12.12,361,done,
568,42.30.23,346,done,
569,44.18.24,347,done,
570,40.31.20,167,done,
571,50.29.50,365,done,
572,47.30.24,,,
573,24.48.12,314,done,
574,48.31.12,357,done,
575,18.43.10,386,done,
576,24.36.12,missing seller,done,
577,36.36.12,364,done,
578,48.28.12,missing seller,done,
579,30.44.15,missing seller,done,
580,40.30.20,missing seller,done,
581,43.30.21,missing seller,done,
582,42.37.20,501,done,
583,44.62.24,227,done,
584,34.38.22,109,done,
585,44.30.15,93,done,might be duplicate
586,36.46.19,458,done,
587,51.33.18,137,done,
588,32.40.19,371,done,
589,48.30.16,225,done,
590,64.33.18,147,done,
591,41.56.19,237,done,
592,40.40.12,missing seller,done,
593,31.44.18,335,done,
594,40.48.19,175,done,
595 (identical dresser),42.38.20,,,
596,,,,
597,,,,
598,,,,
